,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
"('Ifosfamide', 'Thalidomide')",-319.150344,-395.243152,-297.01567,-286.2142747,-331.036528,-342.8984287,-318.4281993,-258.0873333,-258.43562,-366.66194,-364.1002573,-303.794856,-322.7724747,-317.374168,-188.569364,-315.910998,-252.3131793,-253.989464,-330.75617,-465.3443147,-370.6055907,-264.609054,-278.66702,-269.2605767,-296.580752,-332.8235,-310.5303533,-209.7487053,-314.394216,-222.443428,-345.26392,-91.583888,-294.063006,-256.887392,-344.3948573,-466.09944,-346.813136,-274.36569,-286.7025093,-281.7088847,-321.6204213,-390.88766,-275.64263,-295.264016,-389.5763913,-287.997592,-272.930942,-233.618256,-322.1517167,-299.31819,-294.1866533,-303.01412,-259.6437273,-283.075278,-275.176794,-191.9617173,-386.3256793,-296.7775793,-324.55689,-309.6304507
"('Ifosfamide', 'Gefitinib')",-258.8013582,-209.7257137,-203.1483374,-172.5328832,-245.5564226,-204.8854925,-225.9195614,-215.6821057,-217.1926304,-206.7943128,-319.394302,-259.678332,-202.8578643,-212.6131614,-253.3020034,-219.0007591,-220.8025622,-227.977632,-66.036279,-223.9856278,-355.3370344,-246.388369,-253.9888586,-126.8037866,-267.5378226,-245.8946129,-249.6588811,-225.6589986,-203.6924475,-216.6576854,-267.1569261,-76.95118112,-199.6378162,-109.7201454,-169.4078011,-198.2334502,-257.9645504,-214.4177094,-220.0739219,-237.8065078,-107.1046282,-251.7556727,-201.4985,-265.588517,-268.1730512,-268.600738,-249.7877387,-142.4520482,-195.8365623,-200.2543581,-234.3360376,-160.3845949,-177.8019102,-254.7860296,-254.2961103,-174.4703655,-247.9687533,-250.3604284,-249.7806095,-199.9010503
"('Ifosfamide', 'Thioguanine')",-233.7064308,-269.8397575,-186.8191524,-209.3091695,-245.6230261,-226.8893095,-75.4846441,-209.8931474,-148.5296107,-212.886408,-207.7217045,-152.2515065,-185.2313382,-141.1335586,-189.2780039,-329.0181478,-178.6677788,-183.9420672,-212.8698567,-161.2480213,-286.9383047,-129.9403748,-227.5406098,-263.3115817,-209.0947841,-260.5054203,-273.5850225,-217.4294827,-127.5628089,-255.8660276,-153.9796533,-288.9144672,-203.5317137,-223.4781972,-215.2253861,-204.2116708,-195.9656248,-196.3882203,-219.1356842,-210.9591613,-81.05614282,-239.5316318,-198.860444,-201.1133972,-186.0434946,-257.0605499,-280.2913462,-171.6273563,-241.8895169,-242.6865739,-297.2362102,-276.0092854,-99.12556934,-261.0557468,-265.1636046,-248.5183664,-222.9263891,-181.3071747,-226.110253,-168.5844277
"('Ifosfamide', 'Ruxolitinib')",-294.8394908,-282.5575898,-253.5635594,-284.7007686,-330.1003084,-253.9793223,-286.5157538,-279.8785923,-277.024993,-320.4578738,-286.0069984,-256.567865,-252.3720724,-238.0874109,-315.5994702,-308.4145568,-265.5668547,-313.1487026,-273.7724072,-280.0564014,-211.5480651,-307.7385433,-330.1782433,-261.8862935,-273.4550803,-271.1490123,-290.6798088,-285.4977133,-314.0905593,-287.5265072,-263.5372869,-278.3162794,-302.4163606,-313.5379848,-300.982178,-348.9259827,-308.464915,-300.742432,-359.8198763,-347.045852,-231.9133272,-300.9409628,-294.4181456,-315.0785523,-317.146508,-275.6542071,-253.4049723,-380.7972039,-295.3035279,-309.4873575,-330.4319949,-327.6911131,-242.5419885,-315.5888994,-260.8157264,-284.5306232,-312.1807438,-321.6690036,-310.8637087,-296.5349343
"('Ifosfamide', 'Melphalan')",-286.3277677,-306.1433508,-233.8249896,-244.5639584,-278.0331076,-280.4650775,-155.3713914,-227.8522518,-296.9679708,-312.3138337,-216.740622,-261.1976738,-258.3128099,-140.4493347,-253.4222488,-234.9434345,-274.3356237,-296.0214208,-205.4649121,-236.0919922,-371.4656814,-241.5377952,-301.1910559,-272.1861683,-272.1889096,-264.2494097,-298.748391,-217.0297977,-156.6995822,-293.0919282,-257.8603439,-359.38604,-235.7297937,-228.7355853,-212.2872487,-280.9379731,-338.1625285,-308.7523236,-221.5898834,-278.1508568,-200.7223471,-248.5066159,-285.180356,-276.8689353,-264.0154372,-303.7037534,-279.6194775,-270.4045854,-275.0511544,-238.4111536,-256.9589756,-266.258174,-150.1957337,-253.3413697,-251.3187949,-294.1631743,-262.1621754,-267.5104562,-304.7121435,-264.2851668
"('Amifostine', 'Thioguanine')",-218.3125695,-266.4185399,-168.1936412,-214.5879227,-288.1445973,-232.0128704,-132.341279,-205.9585709,-150.9312497,-243.7491787,-206.0687416,-175.0723266,-196.0660332,-165.3239884,-158.9735364,-316.4191109,-175.3978361,-171.9997527,-145.8863981,-162.9998069,-248.934256,-123.8946623,-232.2705214,-267.8900774,-117.3307699,-189.7195373,-265.7681276,-245.7416649,-124.1277341,-117.3672611,-157.076232,-211.7850567,-158.5022364,-223.1007158,-233.9637162,-132.2954787,-175.6909759,-180.6705605,-231.6191272,-241.8377181,-204.9481732,-317.7748706,-213.5962162,-173.7208781,-179.4496168,-246.0781419,-292.8032035,-212.0809616,-248.634943,-235.9988059,-205.2367579,-266.2257655,5.82863676,-271.9622302,-319.9991271,-280.5682765,-232.035827,-269.3423285,-227.7272648,-180.2932609
"('Amifostine', 'Ruxolitinib')",-282.9683755,-292.2694958,-288.5219947,-320.5965663,-263.8409901,-326.9895783,-347.4475083,-306.5867229,-258.2759255,-333.5894282,-329.136199,-316.322553,-317.4567675,-375.9008318,-299.5255139,-345.3266306,-264.5278504,-346.4335536,-278.4855994,-313.1771802,-227.3971387,-295.4858383,-362.3070901,-314.7590036,-265.339588,-339.8579266,-334.2895269,-291.6086611,-353.6007145,-257.9651045,-274.0239982,-423.2524425,-277.3380921,-345.1008035,-326.2032759,-363.9382536,-321.8446041,-333.7936053,-303.3398956,-299.1472873,-171.3589557,-308.8975272,-294.4705638,-311.302039,-298.103204,-377.5945303,-294.5385024,-419.2083487,-281.0748887,-308.5404271,-293.4313554,-344.5804419,-136.3787976,-274.1167214,-306.0556762,-279.10282,-313.7627644,-315.2948635,-324.3979108,-295.8828244
"('Amifostine', 'Procarbazine hydrochloride')",-242.7728967,-308.4512333,-255.7415267,-282.1039213,-250.909452,-274.91134,-241.2917427,-263.40136,-197.49074,-210.6367553,-249.1749727,-251.912008,-276.0204133,-213.524556,-309.18232,-280.395712,-231.385628,-206.4867467,-292.8240507,-274.55456,-400.424696,-171.044336,-251.31988,-301.14674,-314.2107613,-282.5276693,-276.8003853,-217.221416,-279.51192,-302.3854933,-262.387192,-251.2814447,-268.7575893,-254.96791,-309.931428,-343.1199613,-316.926608,-265.311748,-275.4122333,-215.089116,-268.25704,-182.747104,-357.2874773,-161.76132,-465.295776,-201.6988453,-191.8610987,-221.6534907,-298.4387733,-277.763472,-295.14176,-314.6131847,-334.1852253,-282.0132,-258.5511573,-246.156528,-304.0134667,-215.368672,-248.5723913,-244.4526813
"('Chlorambucil', 'Gefitinib')",-183.4598116,-156.9017921,-155.0592113,-91.7539252,-224.2404863,-69.95070496,-155.3346283,-253.986816,-173.0469739,-136.769409,-176.8821511,-216.2933055,-178.5858933,-197.6988158,-150.6337215,-90.91008115,-202.5333072,-189.0134,59.38246584,-148.7815449,-223.4890311,-234.9845356,-244.9532694,-181.5614171,-221.7417844,-194.6893998,-219.7874833,-43.62567323,-152.3884588,-178.2364517,-187.8711787,22.71228224,-203.3431144,-72.4427454,-198.0905925,-50.5640226,-175.5512592,-166.1425537,-198.1180958,-150.7217293,-149.2253883,-115.11273,-177.7747305,-190.5504993,-140.035207,-150.9225836,-194.3239931,-130.3107937,-176.5989718,-158.7564427,-224.4519989,-225.18444,-44.31442363,-180.540648,-215.4038172,-163.6167788,-251.047815,-177.6555045,-208.0383088,-191.72641
"('Chlorambucil', 'Ruxolitinib')",-182.4348088,-230.6998123,-209.591832,-206.0965739,-206.6651333,-159.0354997,-159.0140487,-237.0193249,-155.9309371,-256.4349991,-374.1313164,-241.6000242,-258.4461278,-228.6880561,-242.7505753,-193.2472608,-245.9214875,-247.7801785,-193.3535873,-216.0691525,-191.8195368,-208.3492895,-261.0164886,-259.8955323,-265.0148329,-270.4152072,-317.2801563,-124.3584365,-129.40517,-256.5917326,-224.3424597,-287.7559818,-237.4867664,-194.2206854,-242.542444,-266.4656948,-357.4232305,-307.1820756,-224.2490126,-260.8527018,-199.1996911,-210.8835219,-218.728336,-202.7096694,-239.7262355,-275.6060436,-260.0928578,-287.5270562,-246.9743904,-205.024595,-257.602115,-247.805793,21.23865056,-231.47566,-226.8755921,-273.1090462,-244.0784295,-302.9017689,-275.0025922,-226.5310809
"('Chlorambucil', 'Melphalan')",-145.0727964,-272.6517712,-177.4938464,-60.61415004,-223.9761133,-34.85352606,-92.58997489,-191.868825,-212.726968,-237.9541755,-325.0354819,-203.818131,-225.1328863,-136.4181223,-150.6997183,-149.7364262,-232.4400996,71.2348688,-167.3817592,-201.6560498,-218.9669143,-186.4747477,-206.47616,-213.8581875,-205.81698,-232.1273816,-285.018804,-75.95319979,-44.73082738,-286.1226047,-167.662192,-267.5725642,-171.225408,-230.3153374,-231.3468221,-103.2263684,-219.5582144,-179.3356256,-214.9606345,-243.8754147,-119.243015,-143.6544359,-144.5490065,-171.9628184,-142.7984289,-143.4739155,-242.7313376,-201.7088641,-241.0599207,-172.1960888,-127.0663182,-210.093128,43.91913093,-209.5148176,-262.9377681,-245.3246423,-201.7506881,-284.1155858,-226.172115,-291.66459
"('Hydroxyurea', 'Gefitinib')",-263.624404,-220.3317774,-229.6159294,-152.5683612,-249.8988195,-212.4224838,-220.3866388,-209.3643273,-237.9659555,-191.7056097,-188.4464659,-252.65322,-191.6384827,-140.4653902,-220.5180541,-264.2916688,-240.3046918,-269.0893313,-97.36630224,-278.290752,-331.2087547,-284.4832546,-250.5643381,-189.7964219,-221.3036311,-245.0633169,-214.8288616,-211.7147399,-240.9825214,-197.4618508,-239.5775598,-3.670695107,-213.400516,-156.044748,-220.5636018,-170.0452771,-260.321425,-167.8793776,-200.657228,-239.2089966,-22.7478,-214.4680735,-242.6799823,-281.9720179,-261.1509899,-251.1460496,-248.2505057,-216.1415709,-196.470172,-226.5188533,-264.10271,-220.1294601,-229.4781981,-238.6062833,-235.1093838,-166.3298528,-258.1730563,-265.1250636,-206.9287647,-199.7660831
"('Hydroxyurea', 'Thioguanine')",-245.9358915,-278.6156134,-208.1726383,-168.1374444,-211.43522,-208.0344864,-206.2353984,-194.7478948,-184.6152202,-293.1931929,-199.2687592,-168.2855208,-207.4223968,-150.0016013,-184.5807341,-299.7091264,-229.5354958,-184.0173533,-257.4484341,-197.377948,-311.5092921,-149.2977716,-251.42832,-215.7215461,-273.2382081,-289.9038031,-271.9246011,-264.3531577,-145.5221328,-298.045126,-211.3521511,-244.5255621,-160.6450762,-228.9300962,-208.0632339,-210.8428042,-274.7560274,-237.3659451,-256.0046823,-250.1984432,-160.489826,-289.4675379,-254.1331851,-211.93746,-262.8258262,-296.3918563,-278.2536572,-186.7697867,-264.9581618,-289.6778075,-319.1582173,-295.8770463,-145.1673694,-304.157049,-302.5655982,-255.9939859,-204.7017239,-226.6977759,-192.2682521,-197.864794
"('Hydroxyurea', 'Melphalan')",-278.8826863,-301.3894368,-234.765262,-201.6607512,-188.6929235,-251.1118045,-113.3318237,-156.8218294,-316.7954787,-317.796694,-231.7361116,-258.722569,-248.4994557,-124.6760617,-243.0363442,-266.1998444,-294.0354845,-247.4261121,-226.5147238,-242.36989,-335.5510039,-274.5525732,-319.6334173,-222.0674279,-254.8790413,-232.9746165,-338.5952111,-250.3471796,-172.6190994,-269.7144152,-266.3522232,-309.0906402,-194.5743844,-233.1405991,-269.8552034,-240.3943161,-267.6859753,-295.4860736,-242.3389822,-263.1110368,-116.9722323,-269.6287982,-250.3868625,-275.6598915,-248.9904267,-298.3986868,-307.7913457,-228.1097041,-286.6280644,-290.0087216,-260.6639141,-289.4282166,-187.5370441,-251.196565,-246.5126114,-276.1505105,-245.9705564,-306.2466792,-305.2006736,-277.7316536
"('Estramustine phosphate sodium', 'Gefitinib')",-273.0203095,-263.457051,-220.6791766,-231.4601612,-336.202605,-329.5267142,-340.8558881,-273.2217025,-270.7819453,-257.4850448,-249.092399,-307.3040315,-248.8941367,-290.6179173,-265.0877859,-231.6384473,-345.7448464,-344.6384397,-156.9722574,-298.4267262,-320.7964894,-308.0559189,-248.1332349,-395.4665929,-381.6831139,-302.2811507,-242.0260421,-238.7967326,-303.4756816,-293.6243531,-262.2602045,-133.0816281,-246.771056,-224.2082563,-264.2703165,-256.5268774,-273.0490549,-371.2738998,-316.9493013,-271.0141903,-298.8783832,-354.486041,-281.1507027,-280.9252685,-309.9984659,-307.94304,-300.7091269,-409.3211998,-225.172606,-226.3929147,-252.3072288,-303.8226966,-322.735186,-273.1766718,-341.0522858,-236.0965949,-269.9325843,-326.7478217,-331.1471855,-263.0775545
"('Estramustine phosphate sodium', 'Thioguanine')",-250.8091196,-275.2537633,-206.1543218,-227.4206206,-341.2679533,-186.0747857,-142.2663008,-162.8950755,-172.999932,-220.2619184,-258.848704,-179.2008839,-185.1826945,-193.9548471,-161.3301822,-261.044867,-324.0449756,-213.1246733,-218.3578053,-162.9134103,-216.1139543,-102.4518205,-209.2031253,-245.3193168,-190.9903221,-297.7517245,-260.6040246,-301.6369651,-101.9794879,-256.9518835,-232.9031378,-243.3398328,-201.4238736,-232.1674388,-211.1462627,-160.1592673,-209.5310209,-166.0030229,-234.4603863,-256.4435712,-168.6683075,-318.4905015,-244.5272387,-169.2022806,-172.5862169,-288.77456,-311.644273,-236.5959833,-204.1610048,-288.4293124,-265.787674,-265.3229149,-91.432664,-283.0981678,-298.4248652,-288.5997468,-231.0951572,-257.1980838,-193.1412165,-160.1395009
"('Estramustine phosphate sodium', 'Melphalan')",-304.9106311,-273.1508536,-246.1922682,-240.025244,-262.517401,-293.7752957,-220.3085845,-212.4149535,-295.7909131,-307.1152347,-269.049598,-277.3929854,-199.5774589,-235.3319078,-242.5181672,-250.3873443,-227.4018968,-268.458105,-258.4633041,-261.1970428,-353.7761518,-272.3730902,-342.7116951,-270.3779573,-291.0417058,-257.2702119,-282.6994404,-295.8684224,-196.1961132,-278.1354655,-259.3661545,-306.9723455,-259.5298539,-259.2184856,-312.108548,-269.8672765,-325.2399276,-295.4116958,-285.0775955,-266.3855,-136.9583255,-260.7173899,-246.7181915,-275.4697905,-253.2964803,-315.69032,-340.9265385,-233.92631,-334.6763792,-210.2639172,-288.5466382,-323.3333171,-189.700756,-311.0796033,-300.2250514,-273.4455459,-274.4791063,-315.7762954,-295.6504019,-304.7982003
"('Exemestane', 'Gefitinib')",-153.6064684,-153.6508893,-169.2340273,-168.5224122,-187.941223,-132.8649841,-199.7657417,-145.170722,-103.9790576,-127.2970293,-99.27237504,-168.8405262,-148.5393684,-193.3165762,-163.6766003,-128.6386233,-153.9418404,-147.3470733,35.26085088,-216.5001573,-89.52521907,-203.4980968,-199.747386,-156.942642,-215.9520387,-165.5908742,-199.9313314,-123.4610909,-162.3705015,-161.2153625,-178.541044,2.14157312,-182.9290296,-83.9902998,-177.2351855,-149.5755102,-180.2557996,-134.0016698,-151.9642795,-175.0821628,-208.6110834,-157.70973,-140.1768072,-221.1746296,-188.2451037,-114.5770849,-205.1590781,-124.1356227,-105.2562487,-142.5525526,-191.469247,-200.132665,-260.7889519,-117.0117777,-151.8189234,-157.8960873,-188.056352,-160.7879734,-216.1188232,-136.135205
"('Exemestane', 'Ruxolitinib')",-180.1734121,-179.2199745,-201.0612848,-250.7297228,-178.7387267,-218.0732783,-191.3351381,-163.7689991,-176.1850423,-202.5650335,-330.4593133,-207.7790451,-224.3247323,-221.6655919,-182.3701335,-190.7120363,-196.5268421,-198.3739606,-172.9916829,-161.786061,-148.9633493,-209.8567166,-161.7023919,-220.7701453,-197.2121153,-233.4285925,-180.7789896,-170.3527664,-236.3602948,-165.8583723,-183.3361485,-175.2568612,-230.0049993,-153.8703989,-214.254752,-238.376328,-180.6701945,-185.7978862,-202.2237326,-211.4943405,-152.2900939,-218.9628954,-173.3613084,-232.8965453,-178.7827202,-181.4367708,-175.9853142,-186.6323975,-198.969046,-226.9330457,-239.9325642,-216.1879075,-172.4491168,-189.4790893,-227.5562314,-208.0451859,-196.4280795,-194.5993551,-241.2202046,-215.4782498
"('Ifosfamide', 'Teniposide')",-206.4942224,-176.5338069,-215.1551306,-184.942089,-185.8820227,-221.5730585,-60.4837,-188.6898809,-148.8828596,-230.1571523,-237.24344,-200.6904288,-196.451748,-68.8742966,-166.1593959,-214.5499767,-266.3052014,-214.17876,-212.3942421,-152.4382271,-286.7481023,-161.5984972,-225.6122545,-239.3844512,-175.5043298,-240.3269594,-234.8901369,-236.9775221,63.28356048,-168.4233512,-84.23117407,-289.9305391,-140.6615848,-196.8087904,-296.875866,-239.9956256,-287.954183,-286.6358138,-200.3394635,-278.1234143,-55.00475566,-185.9869668,-140.506276,-186.301498,-191.8199587,-183.9262399,-257.4694953,-145.0127642,-246.7031506,-216.3812792,-148.9356292,-174.1199719,63.492774,-189.2803408,-241.8608575,-260.3627562,-190.9240912,-287.1888795,-225.4835321,-256.2475292
