Unnamed: 0,variance
PIH2,1.4142665
HHIPL2,1.4122605
LOC643630,1.4120783
KRT222,1.4110835
GAL3ST1,1.4105399
COL6A3,1.4096718
RSPO3,1.4088658
LOC440786,1.408533
COL7A1,1.4081855
HOXD10,1.4074329
MMP1,1.4056797
LOC388152,1.4054312
OR2A25,1.4051527
IFITM4P,1.4034001
TM4SF18,1.4033667
GABRE,1.4025204
NEFL,1.4019731
ULK4P1,1.40097
TGFB2,1.4007393
RRAD,1.4000854
QPRT,1.3991565
NR0B1,1.3989346
CYP4F30P,1.3986039
CLPTM1,1.3981395
ADAMTS2,1.3971226
ANPEP,1.3969476
LOC729356,1.39648
LAYN,1.3964795
RFESDP1,1.3946618
HOXD11,1.3943808
PHYHD1,1.3942899
GNGT2,1.3939266
CRISPLD1,1.3933661
DKFZP434L187,1.3925859
S1PR3,1.3921002
AP1G2,1.3913001
ADAM12,1.3911288
SPANXC,1.3899986
G6PD,1.389814
XGPY2,1.3894492
OR13C4,1.3886704
PPP1R14A,1.3876292
AXL,1.3863171
WSCD1,1.3854351
HIST1H1A,1.3853755
PAX8,1.3852501
CT45A5,1.3847941
PLCB4,1.3844489
ECSCR,1.3841573
SFN,1.3839239
MINPP1,1.3838923
SV2A,1.3831943
BRDT,1.3823109
MRC2,1.3818716
CACNG6,1.3809234
LOC100132824,1.3806756
C12orf39,1.3805234
KRTAP2-1,1.3797157
AMIGO3,1.3793693
ZNF469,1.3791102
LFNG,1.3790627
DRAP1,1.3785397
ENTPD7,1.3784404
LOC100129118,1.3783505
MYLK,1.3770986
EFEMP2,1.3759593
GDF5,1.3758265
LHX8,1.3755955
NEFH,1.3754679
ABCB1,1.3750707
IL32,1.3748084
PADI2,1.3747545
LIPA,1.3747503
BMS1P7,1.374361
SHISA2,1.3743398
CGB2,1.3742386
UBB,1.3741635
LDHA,1.3738657
BST1,1.3733839
NDP,1.3730506
MAGEA6,1.372724
TNFRSF6B,1.3721751
C9orf64,1.3712947
CRYZ,1.3702563
EMILIN1,1.3697792
DPCR1,1.3694253
CDK2AP2P1,1.368815
STAC,1.3682867
KCNIP1,1.3681785
HIST1H3D,1.3681474
SUMO3,1.3673344
ZFHX4-AS1,1.3673291
C14orf105,1.3658814
NR2E1,1.3656467
MT1E,1.3652847
PTGIS,1.3644482
ADAMTS1,1.364344
LHX1,1.3638259
GGT8P,1.362775
PRSS35,1.3621614
MAPKAPK3,1.3620908
GLRB,1.3620716
DYSF,1.3614851
KRT80,1.3608077
FAM101B,1.3603901
GPR64,1.3601345
EPGN,1.3601108
LOC100131510,1.3598887
PKDCC,1.3598316
PCDH17,1.3595928
MXRA8,1.3594072
CYP24A1,1.3592038
PTPLAD2,1.3591993
NTRK3,1.3589529
OR2W3,1.3587964
TRBV7-4,1.3586463
VAPB,1.3584003
WISP2,1.3583935
HOXA2,1.358307
HBEGF,1.3581313
PMEPA1,1.3580723
ORM2,1.3580579
RPL22P5,1.357973
MOXD1,1.3577828
LEFTY1,1.3576279
OR51E2,1.3571627
ACTC1,1.3567255
C17orf104,1.3564085
SLC3A2,1.3562313
WNT7B,1.3561727
AARS,1.3559328
KIAA1462,1.35586
HAPLN1,1.3554801
COL5A1,1.3553144
TGFBI,1.355214
LRRC20,1.3550069
INHBA,1.354758
CXorf61,1.353834
TOP2A,1.353405
MYRF,1.3530408
LOC653653,1.3528821
DMBT1,1.3524802
BEX1,1.3521863
LIMS3L,1.3515857
SDPR,1.3512459
CREB3L1,1.3511045
SEC31A,1.3503047
ASNA1,1.3499522
LOC201651,1.3498671
RPRM,1.3497121
PTX3,1.3492165
LY6K,1.3486744
LCE1A,1.3485705
NF1,1.3482193
ALPK2,1.3473498
HTR1D,1.3471591
RPL13P6,1.3469093
CD70,1.3468366
OR5H3P,1.3462563
KIF26B,1.3452649
PRDX2,1.345251
CKB,1.3449763
HNRNPLP2,1.3445915
RCE1,1.3444245
LOC642934,1.3441931
DSE,1.3440067
BICC1,1.3430022
ZNF585B,1.3429713
INA,1.3428217
ACAT2,1.342568
FAM203B,1.3417794
LOC642423,1.3417122
DRG2,1.3415647
GLIPR2,1.341463
LDOC1,1.3409406
ADAMTS12,1.340618
GEMIN7,1.3401657
GPX3,1.3399662
RAB42,1.3394989
CST1,1.3392212
TSPAN2,1.3392016
C3,1.3390309
TENM2,1.3388914
PCED1B,1.3387895
PREX2,1.33874
KAL1,1.3384546
PXDN,1.3380114
RIMBP3B,1.3371385
SYNJ2,1.3364835
BNC1,1.3363633
MUC4,1.335921
SLFN13,1.3358563
LOH12CR2,1.3358192
HORMAD1,1.3355836
PTGER1,1.3354626
GPM6A,1.3352462
VCP,1.3351079
RPS4Y1P1,1.3350272
SLC47A1,1.3349445
RPLP1P3,1.3348765
AR,1.3348492
STC1,1.3348447
PSMC6P1,1.3344557
MAP1LC3C,1.3342522
COL4A1,1.3341315
FGFBP1,1.3339746
LINC00961,1.3339283
AKR1B10,1.3338144
RPL36AP7,1.333682
KBTBD12,1.3336517
DRD2,1.3326412
CA3,1.3322945
CD40,1.3318447
GGT5,1.3316885
CHMP6,1.3316203
EPS8L2,1.3313212
IGFBPL1,1.331215
DPYSL3,1.3309375
MMP13,1.3305023
SFTA3,1.3304348
F2RL2,1.3303926
CASC4,1.329926
SLC17A1,1.3297791
RAB3B,1.3297768
UGT2B28,1.3297433
SLC16A12,1.329554
SOX3,1.3293011
SLN,1.3290752
ACLY,1.3290687
DIO2,1.329053
SYT13,1.3289863
SLC16A3,1.32847
HOGA1,1.3282686
KRT223P,1.3277546
TRIM55,1.327711
LOC100289543,1.327535
GABRA5,1.3272579
SPATA4,1.3271326
PRKDC,1.326982
FEZ1,1.3267941
ZNF260,1.3267521
ZFHX4,1.3267444
NAPA,1.3265003
RELB,1.3254524
RWDD4P2,1.3252699
ADAMTS3,1.3252622
PDGFRA,1.3250881
TNFSF10,1.325058
PROSER2,1.3247858
AMPD2,1.3246428
KCNA7,1.3244493
CNTN1,1.3237901
SHISA3,1.3237523
NUS1P2,1.3230476
CXCL6,1.3229768
HOXD8,1.3227669
MMP3,1.3226564
TRIML2,1.3222998
TXNIP,1.3217819
APOBEC3B,1.3215272
ITGA3,1.3208808
SLC34A2,1.3208122
DNM1,1.3205591
CSH1,1.3204669
CCM2L,1.3200114
C3orf80,1.3199278
IL7R,1.3198947
TRNAK38P,1.3198329
RASIP1,1.3195316
TFPI2,1.3194827
RGAG4,1.3191727
MT1B,1.3190494
DCDC2,1.3183987
IQCG,1.3182082
POU5F1P4,1.31802
CCDC121,1.3172977
HMGA1,1.3172249
SLC38A3,1.316962
THBS1,1.3169055
UCHL1,1.3168808
ALDH18A1,1.3168569
CCDC80,1.3168331
STAT6,1.3165172
OR4N4,1.3160989
FADS2,1.3160847
SLC16A4,1.3158082
SFTA1P,1.315147
FOXF1,1.3149313
LOC653406,1.3148986
PRR22,1.3148067
NID2,1.3145081
CRISPLD2,1.3142655
TIMD4,1.314192
PKN1,1.3136917
TPM2,1.3135914
PDGFA,1.3130933
STRA6,1.3129047
LOC151009,1.3126467
C4BPB,1.3125913
MMP24,1.3125851
ALDH1L2,1.3125074
LMO3,1.3125011
HS3ST3A1,1.3123856
RPL22L1,1.3121083
ENC1,1.311397
LAMC2,1.3111333
EEF1A2,1.3109062
LOC100131361,1.3106024
ADAP2,1.3104908
IRF2BP1,1.3098958
CDH16,1.3093215
MARK4,1.3091811
MGARP,1.3090111
VCAN,1.3088739
SLC3A1,1.3087472
IL13RA2,1.3086631
T,1.3085873
SPAG17,1.3082616
DOK4,1.3077743
ZNF700,1.3077621
LINC00472,1.3076501
CYP4F11,1.307562
MICAL2,1.3074349
GBP5,1.307426
WNT5B,1.3072346
MAP1A,1.3070678
CLCC1,1.3069308
FAM225A,1.3067659
ADAMTS9,1.3065425
COMMD7,1.306396
RPS6P9,1.3061818
CYP2D6,1.3060815
COCH,1.3058654
DEFB1,1.3058051
SCN9A,1.3057615
PTK7,1.3057474
RAB34,1.3057218
SIK1,1.3057024
MISP,1.3050287
CHST1,1.3050067
PPAPDC1A,1.304357
AFAP1-AS1,1.3042583
ZIK1,1.3042557
ANKRD1,1.3042245
SEMA3E,1.3042194
GLT8D2,1.3040848
LRP1,1.3040835
SPDYE2B,1.3040442
LOC100130039,1.3030612
VDAC1P6,1.3029987
EDIL3,1.3029191
GPR1,1.302838
LINC00162,1.3027889
OPA3,1.3027403
VTI1BP3,1.302709
OXTR,1.3023286
HIGD2A,1.3023198
NRG1,1.3021635
PTPRB,1.301613
ABHD5,1.3015445
BMP5,1.3014448
LDHAP5,1.3011714
TPM1,1.3011324
YTHDF2P1,1.3010145
LDLR,1.3008461
FAM138E,1.3007164
LAMB3,1.3006831
GJA5,1.3004776
HKDC1,1.3003584
PGAM1P4,1.3001145
IFFO2,1.2992901
AKR1B10P1,1.2991841
IL6,1.2991792
LOC644387,1.2989695
TGM2,1.2988145
FAM47C,1.2984259
EHD2,1.2983093
TIMP4,1.2981714
EDNRA,1.298096
ZFP91-CNTF,1.2974875
PCOLCE,1.2974792
RARRES2,1.2973489
PPARD,1.2972239
RBM42,1.2969328
PCDH11Y,1.2969267
TMEM216,1.2964407
COL4A6,1.2964027
ARL2,1.2960904
COL12A1,1.2959542
CYR61,1.295934
PHPT1,1.2959175
IGF2BP1,1.2957513
CCBE1,1.2956682
UQCRHL,1.2954878
C19orf33,1.2954515
ABCC2,1.2952468
EEF1DP2,1.2949849
MIR143HG,1.2947319
NHS,1.2947098
KCNT2,1.2945439
LOC728323,1.2944967
KAAG1,1.2941506
ANP32D,1.2941334
EFHD2,1.2939861
BLOC1S3,1.2938113
BANF1,1.2935414
TAGLN3,1.2935032
EFEMP1,1.2933471
GABRA2,1.2930683
FAM13C,1.2928605
PHKA1P1,1.2928598
COL4A2,1.292403
SERPINB9,1.2923179
HSPB6,1.2922986
FOLR1,1.2921544
CHRDL1,1.2920957
LINC00461,1.2919812
LOC642262,1.2918483
TRIM8,1.2916906
HTATSF1P2,1.2915844
FOSB,1.2915641
SEC24A,1.2915605
TSPAN18,1.2914375
KCNMB3P1,1.2913607
LCE5A,1.2913436
EFHB,1.2913382
EVA1B,1.2913369
SLPI,1.2911336
ARHGAP1,1.2908727
FAT4,1.2906158
ITGA11,1.2906156
GFPT2,1.290591
ATP10A,1.2905031
PORCN,1.2904975
ATAD1,1.2903557
EXT1,1.2903358
VASN,1.2902092
SLC25A23,1.2900451
TNFAIP6,1.289922
BAIAP2L2,1.2897719
SERPINE1,1.2895986
FDXR,1.2894672
C1orf186,1.2894096
HAVCR1P1,1.2890012
TRAM1,1.2889287
IL18,1.2886336
HSPB2,1.2883639
FAM27E4,1.2883044
WNT16,1.2882904
CCDC144CP,1.2881532
SLC4A4,1.2881529
DAPK1,1.2881294
MICB,1.2880713
TEX15,1.2879603
LMAN2L,1.2879562
LOC401316,1.2878164
LIPG,1.2878152
FBXO32,1.2877346
LAGE3,1.2877202
ADAMTSL3,1.2877002
PDE1C,1.2874886
COL5A2,1.2873191
IL10RB,1.2869551
ANO6,1.2867535
NID1,1.2863601
PNMA3,1.2860237
UBAP1,1.2855762
TM4SF20,1.28557
HMGB3P1,1.2854902
CSRP3,1.2852745
SLC7A11,1.2852345
ZFP14,1.2850399
CHRNB1,1.2849977
LRP1B,1.2849422
UBAC2-AS1,1.2847502
MMP7,1.2846352
MGC39372,1.2846261
LPPR4,1.2844756
XPOTP1,1.2843635
FAM49A,1.2840669
ATP6V0E2,1.2840613
PDE10A,1.2840332
FNDC4,1.2835609
KRT18P47,1.2832283
DKK3,1.2831383
CTCFL,1.2827911
RPS4Y2,1.2823471
TP53,1.282338
DSP,1.2823312
NPPB,1.2819906
LOC100128622,1.2819788
PCDHB16,1.2818654
ABCC3,1.2817951
COL6A2,1.2815398
ATG4A,1.2814584
GLYATL2,1.2810141
NFKBIZ,1.2809536
HOXB2,1.2809331
SPATA18,1.280899
MYL9,1.2807465
F3,1.2807214
CDH11,1.2807151
C1S,1.2806549
ZNF542,1.2805814
FAM225B,1.2805214
PEG10,1.2801789
HOXA9,1.2801678
RPS10P15,1.280167
ALKBH6,1.2800556
SALL3,1.2799976
TOMM40,1.2798297
PODNL1,1.2797185
PP13,1.2796825
ALKBH5,1.2793854
AKR1C3,1.2792722
SMARCA4,1.2792356
STRADBP1,1.2792237
SHCBP1,1.2791989
HAS3,1.2790576
FBN2,1.2790412
FOXE1,1.2790374
GPR89C,1.2788314
GGT1,1.278692
LOC401864,1.2785344
PRODH,1.2784976
HRASLS,1.2779773
RGS4,1.2778835
CYP2S1,1.2778746
GLIS3,1.277862
VIM,1.2776875
CTF1,1.2776527
SUV39H1,1.2774138
MMP12,1.2772502
VEGFC,1.276823
MXRA5,1.2764359
MYH9,1.2761105
LIN28A,1.2761052
PLEKHG4,1.2757721
SERPINB7,1.2757277
DPY19L2P3,1.2756792
SLC2A2,1.275559
SLC30A1,1.2755417
RBM23,1.2754105
CHURC1,1.2752637
TLR4,1.2746959
H2BFS,1.274572
AADAC,1.2742145
UBE2G1,1.2742025
LINC00473,1.2740616
SOGA2,1.27401
HACL1,1.2736415
DUSP1,1.2736291
CPA6,1.2735884
OR7E19P,1.2735474
CHAMP1,1.2735238
CDA,1.2734927
LRCH2,1.2733718
NAP1L3,1.2733091
PCDHA5,1.2729627
CORO6,1.2727714
SEMA7A,1.2727263
ABI3BP,1.2726407
TMEM39A,1.2726353
ZPLD1,1.2726309
VLDLR,1.2726281
MRPL38,1.2726122
LOC100288623,1.2724019
HYOU1,1.2716248
FKBP7,1.2714667
ERAP2,1.2713504
JMJD8,1.2711443
GOLGA8H,1.271087
NRIP3,1.2709838
EDN1,1.2709525
FAM92A1P1,1.2708366
SLC37A2,1.270633
RHOF,1.2705004
ZNF568,1.270439
COLEC10,1.2703582
HMGCS1,1.2703003
SLCO2A1,1.2702991
RARRES3,1.2701436
CALHM2,1.2701166
LYPD1,1.2700527
CRIP1P4,1.2700343
CCL2,1.2698771
LOC100127983,1.2698672
RPL7P58,1.2698239
ZNF674-AS1,1.2697022
SNX6,1.2696201
CCL26,1.269542
PPME1,1.2695025
ADAMTS15,1.2690864
CYP1B1,1.2686452
KIRREL3,1.268525
BIRC3,1.26846
CPNE7,1.2684255
KIAA1644,1.2681168
GYS1,1.2678707
ZNF548,1.2678618
SHISA9,1.2675892
PRICKLE1,1.2674843
DZIP1,1.2674528
RPL23AP24,1.2673912
C11orf68,1.267346
C10orf62,1.2672974
IARS,1.2671152
TBX15,1.2670758
KLHDC3,1.2667202
COL8A1,1.2666702
RAP1GAP2,1.2665656
LOC100288181,1.2662985
PTGS2,1.2658721
SUSD2,1.2658672
ARHGAP28,1.2658545
STXBP2,1.2658082
UCA1,1.2656648
CYC1,1.265322
MAP1B,1.2651905
GLP2R,1.2651141
DSG2,1.2649252
EPHA3,1.2646514
OR1F2P,1.2646319
FABP5P3,1.264541
ABCC1,1.2645353
CNRIP1,1.264486
ARHGDIA,1.2640196
CTAGE9,1.2638261
MRGPRX3,1.2635428
FMOD,1.2634213
C1R,1.2631
TCF19,1.2628746
CYB5D1,1.2628433
C6orf52,1.2627903
PCYT1B,1.2626745
INHBB,1.2623886
VSIG1,1.2622446
PLP2,1.2618101
NEU1,1.2616287
ZNF883,1.2614446
NAP1L2,1.261437
S100A2,1.2614338
ATP8A2,1.2612296
FOXA2,1.2608793
LOC100128076,1.2607377
H1F0,1.2607024
ZDHHC4,1.2606094
ARMCX2,1.2605983
COPB2,1.2605494
ECM2,1.2605306
OSTCP1,1.2605088
DDA1,1.2604597
FSTL3,1.260321
TTLL7,1.2600346
NUDT16P1,1.2597007
SLC38A4,1.2596208
SGK196,1.259592
DMPK,1.2595764
PDPN,1.2595446
QRFPR,1.2595067
GLIS2,1.2594578
SRPR,1.2593758
ANKRD18B,1.2591233
EYA4,1.2588798
FLJ35816,1.2588501
RUNX2,1.258826
TLN1,1.2587653
E2F7,1.2586344
LOC100130111,1.2586199
CCNG1,1.2585682
SPOCD1,1.258437
BCMO1,1.2583817
LOC339535,1.2581999
PUF60,1.258157
TMEM37,1.2581352
AHNAK2,1.2580298
IGFBP1,1.2577468
ITGA5,1.2577415
H2AFV,1.2576814
TRAPPC1,1.2576696
RBM3,1.2575326
IPO13,1.2572922
ELFN2,1.2571555
GIT1,1.2570804
YWHAH,1.2569757
PIGQ,1.2569273
LPHN3,1.2566606
IGF2R,1.2566483
PGD,1.2565615
TRIM59,1.2564943
RPL13P,1.2564023
SCPEP1,1.2562923
PAK3,1.256194
FLJ46906,1.2561384
SYNPO,1.2561142
GPR124,1.2558984
NRN1L,1.2557775
CXXC5,1.2557727
IGFBP7,1.2556367
SPARC,1.255598
PAX2,1.2555314
SLC7A7,1.2553447
CDH2,1.2552685
CD3EAP,1.2552406
CFI,1.2552311
TSPAN1,1.2551105
ZNF185,1.254888
ZNF347,1.2546368
PRICKLE2,1.2546003
DPM3,1.2545472
JAK1,1.2544764
TCEB1P2,1.2544633
ARL10,1.254399
FAM90A1,1.2542466
PRAME,1.2542051
CHFR,1.2540973
B4GALNT1,1.2539569
ERCC2,1.2536958
ZNF702P,1.2536201
ANKRD13A,1.2536086
PWP1,1.2534891
EDN2,1.2531122
LEPREL1,1.253066
ALDH1A1,1.2530247
BDNF,1.2529296
NCOR1,1.2529238
NLRP9P,1.2528932
SLC39A4,1.2528679
FSTL1,1.2528152
LANCL3,1.2527192
LOC729960,1.2526588
NDUFA12,1.2525672
C1QTNF2,1.2525364
FN1,1.2525042
MYOG,1.2522947
CXADRP3,1.2522264
UBC,1.252137
GLIS1,1.2517238
NDUFA4L2,1.2514725
CGNL1,1.2511809
SNORD114-1,1.2509785
ZNF483,1.250922
PLK1,1.2508795
NKX1-2,1.2504656
CAPS,1.2502937
RABL2A,1.25027
DPP4,1.2501849
SERPINB2,1.2501775
LINC00312,1.2501396
DLX5,1.2500962
TXNRD1,1.2499597
CLSTN2,1.2496941
KRT8P32,1.2496167
INSIG1,1.249495
ABCA1,1.2494099
CNR1,1.2494006
HOMER2,1.2493978
CDCP1,1.2493361
LOC100132507,1.2493359
TP53TG3,1.2491533
SCARF2,1.2491186
B9D2,1.2490923
ADRB2,1.2490906
RELN,1.2490635
NMNAT2,1.2488008
RASGRF2,1.2487111
FMN2,1.2486966
SYNC,1.2486954
SHOX2,1.2486203
DDO,1.2485225
DSEL,1.2485201
PTDSS1,1.2484051
HIST1H1B,1.2483923
USP9X,1.2479516
HIST2H2BF,1.2479336
C1QL1,1.247872
IFI44,1.2478683
RRAS,1.2478511
FBLN1,1.247656
RSPRY1,1.2475815
SMPD1,1.2474462
PDGFB,1.2472231
TCF24,1.247196
KLRC1,1.2471527
BCL2L1,1.2470618
NOS1,1.2469723
CPSF1,1.2468486
HGF,1.246845
PFAS,1.2466872
FGFRL1,1.2465199
HCG11,1.2464583
HSD17B7,1.24638
TTC37,1.2463256
RNF150,1.2462924
LINC00482,1.2462602
VSTM2L,1.2462023
ETHE1,1.245943
NNMT,1.2458388
B2M,1.245789
THAP8,1.2457886
VPS35,1.2457874
SH3GLB1,1.24577
STK40,1.245734
ISYNA1,1.2457254
WNT2B,1.2454398
SCIN,1.2453611
FAM207BP,1.2453513
ITGB4,1.2452998
UGT2B26P,1.2452251
L1CAM,1.2451706
CD99L2,1.2451339
TUBB2B,1.2451
PSENEN,1.2447604
ZNF808,1.2447492
HECW1,1.2447442
UGCG,1.2446841
COL4A5,1.2446281
PRPS2,1.2442993
PRSS21,1.2439728
KCTD4,1.2436138
SRPX2,1.243477
SNX16,1.2434757
BASP1,1.2431431
GPRIN2,1.2430888
COX6B1,1.2430521
ASF1B,1.2427405
RPL21P134,1.2425593
GSK3A,1.2421737
PRMT5,1.2421513
DOPEY2,1.2420563
TSPYL5,1.2419944
LRRC41,1.241818
KAZN,1.2415245
LOC284889,1.2414068
FGD6,1.241268
ARMS2,1.2411088
ATP8B3,1.2410986
DENND3,1.240938
COL18A1,1.2408965
SDR9C7,1.2408854
TGFB1I1,1.2408448
TMEM200B,1.2408292
XIST,1.2408053
PHKB,1.240775
CES1,1.2407588
IGHV3-74,1.2405503
MT1F,1.2405325
CNN2,1.2405285
MIR100HG,1.2405275
TOX4,1.2404125
PAFAH1B3,1.2403271
MPC2,1.2403191
PYCR1,1.2402669
AP4M1,1.2401791
ZNF655,1.2399992
ZNF585A,1.239922
LBH,1.2398146
ZFP82,1.2397603
SYNGR3,1.2397211
KIAA1429,1.2397207
FAM5C,1.23964
LAMA5,1.2396148
CDH6,1.2395747
SHOC2,1.2394853
ARHGAP29,1.2392606
MFAP5,1.2390443
P2RX6P,1.2389328
CCDC25,1.2389054
HMCN1,1.2388476
BCL3,1.238803
MRPL34,1.2387223
RIC8A,1.2385744
PPP5C,1.2382613
LOC642590,1.2381427
LDHAP1,1.237923
FAM195B,1.2379186
GDA,1.2379018
DDX3Y,1.237795
ABCG2,1.2375125
WDR62,1.2374266
LOXL1,1.2374083
GBP3,1.2371572
EZR,1.2370095
SNRPD2,1.2369905
GRB14,1.2369328
SOX7,1.2369311
GPR128,1.2368993
WTIP,1.2368551
ZNF114,1.2367667
SLC35F3,1.2367351
KRT20,1.2367295
SLC9A6,1.2367023
HERC2P2,1.2366215
IQSEC3,1.2363605
STAG3,1.2363284
LOC728533,1.2362908
CYCS,1.2362883
BHMT2,1.2362307
RXFP1,1.2362257
CLCF1,1.2362005
MAF1,1.2361629
PTRH1,1.2361064
SIM1,1.2359954
DKK1,1.2358794
PPP1R3C,1.2358152
HOXA4,1.2357047
TMEM47,1.2356956
CDKL5,1.2356908
CIB2,1.2356751
P2RY13,1.235627
CLIP3,1.2355626
PRDX4,1.235508
LIMK1,1.2354962
ARL6IP1,1.2353537
CCIN,1.2351617
BARX1,1.235151
MTCH1,1.2351286
PNMAL1,1.2350422
CDC42EP3,1.2348851
DBN1,1.2348512
ABHD8,1.2345715
ILF2P2,1.2345594
CNKSR2,1.2345262
RPL31P49,1.2344545
SOX17,1.2344444
COL6A1,1.2344003
HOXA7,1.2342898
YIF1A,1.2342837
NRAS,1.2342057
SUSD5,1.2341012
DPY19L2P1,1.2340186
THSD7A,1.2339221
HSPB1P1,1.2338138
SOX2-OT,1.233715
GALC,1.2336667
PTPN2P1,1.2335975
TNFRSF10D,1.2334927
ATP5H,1.2334816
HNRNPA1P41,1.233397
LGALS8-AS1,1.2332963
ST6GAL2,1.2332846
FOSL2,1.2331315
ENSAP1,1.2330756
RB1,1.2330145
BEND6,1.2330106
IGFBP3,1.2328578
RPL7P56,1.2327265
FAM83H,1.2327136
MYPN,1.2327096
PLK2,1.2325717
LOC654342,1.2325456
STMN3,1.2324996
PPP1R35,1.2324694
HLA-DOB,1.2323601
ARL4D,1.2321229
DCAF12L1,1.2321146
TTTY15,1.2319973
ZNF574,1.2319677
MAP7D1,1.2319385
TMLHE,1.2318199
DPF2,1.231779
RNU7-46P,1.2316399
STX10,1.2315719
NDRG4,1.2315578
ZMPSTE24,1.2315246
NRIP1,1.2313808
NUP155,1.2313696
LINC00839,1.2312715
EMC1,1.2312404
NRP1,1.2311965
EXOSC5,1.2311293
SLC38A5,1.2309767
MSC,1.230774
FGA,1.2307638
RTN4RL2,1.2307277
GAPDHP71,1.230707
SMOX,1.230701
ADAMTS16,1.2306321
NTN4,1.2304388
ADAMTSL1,1.2303436
FRZB,1.2303431
DACT1,1.2303075
VEGFA,1.2302778
THY1,1.23025
FKBP14,1.2301126
OLFML2A,1.2300924
PRKCDBP,1.229838
HCFC1R1,1.2298081
GOT2,1.2298013
COPS6,1.2297955
PSG3,1.2297884
RBBP7,1.2297826
TNFRSF11B,1.2297646
NUDT2,1.2295991
ARRB2,1.2295471
SLFN11,1.2295384
SLC12A3,1.2293571
KRT8P45,1.2290223
C7orf69,1.2290026
SLCO4C1,1.2289939
COPS3,1.2289824
CACNA2D1,1.2288988
OSGIN2,1.2288331
MCAM,1.2288022
ZNF781,1.228782
RASSF9,1.2287099
MARS,1.2287048
ABCA17P,1.2285638
SHKBP1,1.2284459
MAP10,1.2283657
UCN2,1.2281349
PDE1A,1.2281004
GNG4,1.228016
COLEC12,1.2279421
HOXC8,1.2279046
CCNB2,1.2278711
ECE1,1.2278475
AHCY,1.2278317
NTF3,1.2277827
PTGER2,1.2277457
SNORA59A,1.2277043
FZD2,1.2276936
ANKRD29,1.2276427
DMTN,1.2276033
PKN3,1.2275594
STARD8,1.2274848
ESYT1,1.2274643
NRN1,1.2274493
CP,1.2273196
MAP3K15,1.2270395
B3GALNT1,1.2270374
CLDN1,1.2269676
TRNP1,1.2268999
TKT,1.2268606
FAM127C,1.2268527
LHX2,1.2268325
DAPK3,1.2268023
ZYG11A,1.2266926
RASGRP3,1.2266673
EFTUD2,1.226541
B3GNT9,1.2264066
ALDH3B1,1.2263812
BCAT1,1.2260613
SLIRP,1.2260293
